Layer,M,N,K,
L00_QKV,197,1152,384,
L00_QKT,197,197,64,
L00_QKTV,197,64,197,
L00_OutProj,197,384,384,
L00_FFN1,197,1536,384,
L00_FFN2,197,384,1536,
L01_QKV,197,1152,384,
L01_QKT,197,197,64,
L01_QKTV,197,64,197,
L01_OutProj,197,384,384,
L01_FFN1,197,1536,384,
L01_FFN2,197,384,1536,
L02_QKV,197,1152,384,
L02_QKT,197,197,64,
L02_QKTV,197,64,197,
L02_OutProj,197,384,384,
L02_FFN1,197,1536,384,
L02_FFN2,197,384,1536,
L03_QKV,197,1152,384,
L03_QKT,197,197,64,
L03_QKTV,197,64,197,
L03_OutProj,197,384,384,
L03_FFN1,197,1536,384,
L03_FFN2,197,384,1536,
L04_QKV,197,1152,384,
L04_QKT,197,197,64,
L04_QKTV,197,64,197,
L04_OutProj,197,384,384,
L04_FFN1,197,1536,384,
L04_FFN2,197,384,1536,
L05_QKV,197,1152,384,
L05_QKT,197,197,64,
L05_QKTV,197,64,197,
L05_OutProj,197,384,384,
L05_FFN1,197,1536,384,
L05_FFN2,197,384,1536,
L06_QKV,197,1152,384,
L06_QKT,197,197,64,
L06_QKTV,197,64,197,
L06_OutProj,197,384,384,
L06_FFN1,197,1536,384,
L06_FFN2,197,384,1536,
L07_QKV,197,1152,384,
L07_QKT,197,197,64,
L07_QKTV,197,64,197,
L07_OutProj,197,384,384,
L07_FFN1,197,1536,384,
L07_FFN2,197,384,1536,
L08_QKV,197,1152,384,
L08_QKT,197,197,64,
L08_QKTV,197,64,197,
L08_OutProj,197,384,384,
L08_FFN1,197,1536,384,
L08_FFN2,197,384,1536,
L09_QKV,197,1152,384,
L09_QKT,197,197,64,
L09_QKTV,197,64,197,
L09_OutProj,197,384,384,
L09_FFN1,197,1536,384,
L09_FFN2,197,384,1536,
L10_QKV,197,1152,384,
L10_QKT,197,197,64,
L10_QKTV,197,64,197,
L10_OutProj,197,384,384,
L10_FFN1,197,1536,384,
L10_FFN2,197,384,1536,
L11_QKV,197,1152,384,
L11_QKT,197,197,64,
L11_QKTV,197,64,197,
L11_OutProj,197,384,384,
L11_FFN1,197,1536,384,
L11_FFN2,197,384,1536,
