Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,128,128,7,7,3,64,2,
L2_1a,32,32,3,3,64,64,1,
L2_1b,32,32,3,3,64,64,1,
L2_2a,32,32,3,3,64,64,1,
L2_2b,32,32,3,3,64,64,1,
L3_1a,32,32,3,3,64,128,2,
L3_1b,16,16,3,3,128,128,1,
L3_1s,32,32,1,1,64,128,2,
L3_2a,16,16,3,3,128,128,1,
L3_2b,16,16,3,3,128,128,1,
L4_1a,16,16,3,3,128,256,2,
L4_1b,8,8,3,3,256,256,1,
L4_1s,16,16,1,1,128,256,2,
L4_2a,8,8,3,3,256,256,1,
L4_2b,8,8,3,3,256,256,1,
L5_1a,8,8,3,3,256,512,2,
L5_1b,4,4,3,3,512,512,1,
L5_1s,8,8,1,1,256,512,2,
L5_2a,4,4,3,3,512,512,1,
L5_2b,4,4,3,3,512,512,1,
FC,1,1,1,1,512,63,1,
